FormatVersion,v1.0
Disclaimer,This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/
Publication Date,2026-04-22T19:42:03Z
Version,20260422194203
OfferCode,AmazonDatabaseSavingsPlans
SKU,RateCode,Unit,EffectiveDate,DiscountedRate,Currency,DiscountedSKU,DiscountedServiceCode,DiscountedUsageType,DiscountedOperation,PurchaseOption,LeaseContractLength,LeaseContractLengthUnit,ServiceCode,UsageType,Operation,Description,Instance Family,Location,Location Type,Granularity,Product Family,DiscountedRegionCode,DiscountedInstanceType
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.245EPUU8S7HP5WUD,Hrs,2026-04-20T21:53:43Z,10.9760000000,USD,245EPUU8S7HP5WUD,AWSDatabaseMigrationSvc,APS5-Multi-AZUsg:dms.r7i.12xlarge,CreateDMSInstance,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.25B2RB2TJW9VCXZ6,Hrs,2026-04-20T21:53:43Z,1.824,USD,25B2RB2TJW9VCXZ6,AmazonRDS,APS5-Multi-AZUsage:db.r7i.2xl,CreateDBInstance:0005,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,db.r7i.2xlarge
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.2ATYPCP2TC22BJRT,Hrs,2026-04-20T21:53:43Z,5.744,USD,2ATYPCP2TC22BJRT,AmazonRDS,APS5-InstanceUsage:db.r8i.12xl,CreateDBInstance:0005,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,db.r8i.12xlarge
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.2D295RGWS6EH7YGE,Hrs,2026-04-20T21:53:43Z,3.0668800000,USD,2D295RGWS6EH7YGE,AmazonRDS,APS5-Multi-AZUsage:db.m7g.4xl,CreateDBInstance:0002,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,M7G
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.2MTFZQBFNY8X33AS,WriteRequestUnits,2026-04-20T21:53:43Z,0.0000005822,USD,2MTFZQBFNY8X33AS,AmazonDynamoDB,APS5-WriteRequestUnits,PayPerRequestThroughput,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.2QQ8RTAY9JDP3J79,Hrs,2026-04-20T21:53:43Z,9.2160000000,USD,2QQ8RTAY9JDP3J79,AmazonRDS,APS5-Multi-AZUsage:db.m8g.12xl,CreateDBInstance:0002,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,M8G
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.2VNZV6ZT9TH8C3VS,Hrs,2026-04-20T21:53:43Z,0.2105600000,USD,2VNZV6ZT9TH8C3VS,AmazonElastiCache,APS5-NodeUsage:cache.m7g.xlarge,CreateCacheCluster:Valkey,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,cache.m7g.xlarge
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.2W284E62J5CUFN9F,Hrs,2026-04-20T21:53:43Z,1.0000000000,USD,2W284E62J5CUFN9F,AmazonRDS,APS5-InstanceUsage:db.r7g.2xl,CreateDBInstance:0021,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,R7G
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.2WT4KMABERHKF5UC,Hrs,2026-04-20T21:53:43Z,1.5360000000,USD,2WT4KMABERHKF5UC,AmazonRDS,APS5-InstanceUsage:db.m8g.4xl,CreateDBInstance:0014,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,M8G
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.2YTA5CEHFV8YBCY3,Hrs,2026-04-20T21:53:43Z,12.2880000000,USD,2YTA5CEHFV8YBCY3,AmazonRDS,APS5-Multi-AZUsage:db.m8g.16xl,CreateDBInstance:0018,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,M8G
