"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2026-01-16T16:02:58Z"
"Version","20260116160258"
"OfferCode","comprehend"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Group","Group Description","usageType","operation","PlatoFeatureType","Region Code","serviceName"
"3AXMQWKDDFYP7NT5","JRTCKXETXF","3AXMQWKDDFYP7NT5.JRTCKXETXF.HWDSBTNJX9","OnDemand","USD1.0E-4 per Unit for DetectPiiEntities:DetectPiiEntities in Asia Pacific (Mumbai)","2025-04-01","0","10000000","Unit","0.0001000000","USD","Entity Detection","comprehend","Asia Pacific (Mumbai)","AWS Region","Global-Comprehend-DetectPiiEntities","Processes PII Analysis in text request","APS3-DetectPiiEntities","DetectPiiEntities","DetectPiiEntities","ap-south-1","Amazon Comprehend"
"3AXMQWKDDFYP7NT5","JRTCKXETXF","3AXMQWKDDFYP7NT5.JRTCKXETXF.UH4R86KK5B","OnDemand","USD5.0E-5 per Unit for DetectPiiEntities:DetectPiiEntities in Asia Pacific (Mumbai)","2025-04-01","10000000","50000000","Unit","0.0000500000","USD","Entity Detection","comprehend","Asia Pacific (Mumbai)","AWS Region","Global-Comprehend-DetectPiiEntities","Processes PII Analysis in text request","APS3-DetectPiiEntities","DetectPiiEntities","DetectPiiEntities","ap-south-1","Amazon Comprehend"
"3AXMQWKDDFYP7NT5","JRTCKXETXF","3AXMQWKDDFYP7NT5.JRTCKXETXF.H7TEM37A35","OnDemand","USD2.5E-5 per Unit for DetectPiiEntities:DetectPiiEntities in Asia Pacific (Mumbai)","2025-04-01","50000000","100000000","Unit","0.0000250000","USD","Entity Detection","comprehend","Asia Pacific (Mumbai)","AWS Region","Global-Comprehend-DetectPiiEntities","Processes PII Analysis in text request","APS3-DetectPiiEntities","DetectPiiEntities","DetectPiiEntities","ap-south-1","Amazon Comprehend"
"3AXMQWKDDFYP7NT5","JRTCKXETXF","3AXMQWKDDFYP7NT5.JRTCKXETXF.F83EQNDM5J","OnDemand","USD5E-6 per Unit for DetectPiiEntities:DetectPiiEntities in Asia Pacific (Mumbai)","2025-04-01","100000000","Inf","Unit","0.0000050000","USD","Entity Detection","comprehend","Asia Pacific (Mumbai)","AWS Region","Global-Comprehend-DetectPiiEntities","Processes PII Analysis in text request","APS3-DetectPiiEntities","DetectPiiEntities","DetectPiiEntities","ap-south-1","Amazon Comprehend"
"5BEBHTVHMSCDQ3M4","JRTCKXETXF","5BEBHTVHMSCDQ3M4.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.5 per Unit for DocClassifier-Storage:DocClassifier in Asia Pacific (Mumbai)","2025-04-01","0","Inf","Unit","0.5000000000","USD","Custom Classification","comprehend","Asia Pacific (Mumbai)","AWS Region","comprehend - Custom Classification","Processes Custom Classification model storage request","APS3-DocClassifier-Storage","DocClassifier","DocClassifier-Storage","ap-south-1","Amazon Comprehend"
"5YNPCGDTQUKQG9VT","JRTCKXETXF","5YNPCGDTQUKQG9VT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0005 per Unit for Endpoint-Time:DetectEntities in Asia Pacific (Mumbai)","2025-04-01","0","Inf","Unit","0.0005000000","USD","Custom Entities","comprehend","Asia Pacific (Mumbai)","AWS Region","comprehend - Custom Entities","Processes Sync custom entities text request","APS3-Endpoint-Time","DetectEntities","Endpoint-Time","ap-south-1","Amazon Comprehend"
"6QWS9FX5KQGJBYU7","JRTCKXETXF","6QWS9FX5KQGJBYU7.JRTCKXETXF.HWDSBTNJX9","OnDemand","USD 1.0E-4 per Unit for DetectTgtSentiment:DetectTgtSentiment in Asia Pacific (Mumbai)","2025-04-01","0","10000000","Unit","0.0001000000","USD","Sentiment Analysis","comprehend","Asia Pacific (Mumbai)","AWS Region","Comprehend-TargetedSentiment","Process Targeted Sentiment text request","APS3-DetectTgtSentiment","DetectTgtSentiment","DetectTgtSentiment","ap-south-1","Amazon Comprehend"
"6QWS9FX5KQGJBYU7","JRTCKXETXF","6QWS9FX5KQGJBYU7.JRTCKXETXF.UH4R86KK5B","OnDemand","USD 5.0E-5 per Unit for DetectTgtSentiment:DetectTgtSentiment in Asia Pacific (Mumbai)","2025-04-01","10000000","50000000","Unit","0.0000500000","USD","Sentiment Analysis","comprehend","Asia Pacific (Mumbai)","AWS Region","Comprehend-TargetedSentiment","Process Targeted Sentiment text request","APS3-DetectTgtSentiment","DetectTgtSentiment","DetectTgtSentiment","ap-south-1","Amazon Comprehend"
"6QWS9FX5KQGJBYU7","JRTCKXETXF","6QWS9FX5KQGJBYU7.JRTCKXETXF.ECJTRKSV3C","OnDemand","USD 2.5E-5 per Unit for DetectTgtSentiment:DetectTgtSentiment in Asia Pacific (Mumbai)","2025-04-01","50000000","Inf","Unit","0.0000250000","USD","Sentiment Analysis","comprehend","Asia Pacific (Mumbai)","AWS Region","Comprehend-TargetedSentiment","Process Targeted Sentiment text request","APS3-DetectTgtSentiment","DetectTgtSentiment","DetectTgtSentiment","ap-south-1","Amazon Comprehend"
"7JATR3GN9B266VXQ","JRTCKXETXF","7JATR3GN9B266VXQ.JRTCKXETXF.HWDSBTNJX9","OnDemand","USD1.0E-4 per Unit for DetectKeyPhrases:DetectKeyPhrases in Asia Pacific (Mumbai)","2025-04-01","0","10000000","Unit","0.0001000000","USD","Key Phrases Detection","comprehend","Asia Pacific (Mumbai)","AWS Region","Global-Comprehend-KeyPhrases","Processes Key Phrase detection text request","APS3-DetectKeyPhrases","DetectKeyPhrases","DetectKeyPhrases","ap-south-1","Amazon Comprehend"
